,uname,uid,text,create_time
52,地球没有雨季,4291261823015815,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-04 04:53:29
53,30小坏寕,4291171952322021,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-03 22:56:22
54,不是天使O,4290959904739219,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-03 08:53:46
55,蝴蝶的颜色2011,4290662381879859,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-02 13:11:30
56,如果社会平等,4290441732157460,转发微博//@颜文字君://@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-10-01 22:34:43
57,cocososo男,4290341333229689,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-10-01 15:55:47
58,灬毕加索灬,4290086928112758,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-09-30 23:04:52
59,天空的暗--lly,4289954978596607,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-09-30 14:20:33
60,hi疾风劲草,4289881151019643,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-09-30 09:27:10
61,教师考录,4289510399703358,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-09-29 08:53:57
62,比比安娜TCL_604,4289311153248465,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-09-28 19:42:12
63,小毛齐,4289276000557754,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-09-28 17:22:31
64,蓝色腔调,4289247345430329,转发微博//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-09-28 15:28:40
65,zhj10201221,4289119460622320,转发微博//@然后下面就没了:……//@此人名曰狗血:天啊//@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-09-28 07:00:30
66,海阔天空C919,4288949038555168,"转发微博//@辣条娘:都第几起了…k//@吐槽鬼:@滴滴出行 出来讲清楚啊.你们他妈从上次到现在到底做了什么整改？ //@七福团子:当事人是我表姐,这个司机不是第一次作案,之前也有妹子差点遇到危险,但申报给滴滴根本没有处理！拖延到现在又出问题！牌照是川A31J0Z，司机如图 http://t.cn/RkEhJKc",2018-09-27 19:43:18
67,自自在在风,4288919551708241,"转发微博//@辣条娘:都第几起了…k//@吐槽鬼:@滴滴出行 出来讲清楚啊.你们他妈从上次到现在到底做了什么整改？ //@七福团子:当事人是我表姐,这个司机不是第一次作案,之前也有妹子差点遇到危险,但申报给滴滴根本没有处理！拖延到现在又出问题！牌照是川A31J0Z，司机如图 http://t.cn/RkEhJKc",2018-09-27 17:46:07
68,Keith嘜,4288918998376218,现实的社会不能全是心计倍出//@颜文字君://@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-09-27 17:43:55
69,建安区政法委,4288846445777065,隔壁都开始努力了//@颜文字君://@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-09-27 12:55:37
70,戴斯班克94106,4288834210660419,"哈哈哈哈xswl//@辣条娘:都第几起了…k//@吐槽鬼:@滴滴出行 出来讲清楚啊.你们他妈从上次到现在到底做了什么整改？ //@七福团子:当事人是我表姐,这个司机不是第一次作案,之前也有妹子差点遇到危险,但申报给滴滴根本没有处理！拖延到现在又出问题！牌照是川A31J0Z，司机如图 http://t.cn/RkEhJKc",2018-09-27 12:07:00
71,济南天健,4288736890392307,因为网红是会过时的是会被取替的，//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-09-27 05:40:17
72,Destiny_44334,4288704531267865,我要上学校 天天不迟到，//@颜文字君://@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-09-27 03:31:43
73,晨曦_晨,4288688588665085,你们有没有那种遇到了对的人的感觉??//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-09-27 02:28:21
74,一地小猫,4288687146096209,梁咏琪一开口。。。//@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-09-27 02:22:38
75,将雪融化_423,4288668653149313,喜欢做微积分来放松身心。。。//@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-09-27 01:09:09
76,你说我要叫啥啊,4288421922973584,不要说练琴的孩子没有童年，长大你就知道了//@颜文字君://@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-09-26 08:48:44
77,驴先生在路上,4288395779609397,俩掐一，下半句啥来着[污]//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-09-26 07:04:51
78,靳家小笨,4288383288939295,拒绝土肥圆，从我做起！ //@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-09-26 06:15:13
79,深秋阳光jl,4288366566360752,跟华晨宇嗨爆特醇草莓 华晨宇 中午好//@颜文字君://@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-09-26 05:08:45
80,Hey-Top,4288344118593102,领了一大袋被子床单草席春秋夏校服//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-09-26 03:39:34
81,猫咪爱时代,4288311373462450,已经报警了→_→//@颜文字君://@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-09-26 01:29:26
82,天晴晴-地灵灵,4288308416636310,B:请问你是哪位？//@颜文字君://@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-09-26 01:17:42
83,矇蒙猛孟,4288222177679058,饿了……[失望]//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-09-25 19:35:01
84,Huipcn,4288164376388130,笑成陈伟霆//@然后下面就没了:……//@此人名曰狗血:天啊//@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-09-25 15:45:19
85,17k破万卷,4287917520041822,咖喱猫！？？！！//@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-09-24 23:24:24
86,手机用户3261996612_338,4287866299111403,想看这部电影，想追你//@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-09-24 20:00:53
87,laoyao25,4287851401065903,哈哈哈哈哈哈哈哈嗝 //@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-09-24 19:01:41
88,婉恋遐恋微弱积,4287205994083277,肥的这个腰啊[失望]//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-09-23 00:17:03
89,david2567,4287122447785173,“全能精英，火拼入团！苏宁男人节等你来！”//@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-09-22 18:45:04
90,SUPERABBITWoo,4286737381402887,转发微博,2018-09-21 17:14:58
91,栢拉圖詠恆,4286467482840461,好强，简直天衣无缝//@互联网的那点事:额 当天凌晨的求救微博[悲伤],2018-09-20 23:22:29
92,红冠王,4286258396789149,摩天轮的思念 棒棒哒 恭喜恭喜恭喜 王俊凯 //@颜文字君://@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-09-20 09:31:39
93,梦想达人秀,4286137500106647,转发微博,2018-09-20 01:31:15
94,用户6576321502,4286031160901714,转发微博,2018-09-19 18:28:42
95,傻B_Matt,4285801283783650,Doki冰淇淋?? 想吃 //@颜文字君://@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-09-19 03:15:14
96,哈格里菲斯特,4285735773394835,转发微博,2018-09-18 22:54:55
97,不诗意芙拉,4285623927811624,//@鯊魚SAME:轉發微博,2018-09-18 15:30:30
98,mona166,4285531465128720,"这是谁啊？不认识//@辣条娘:都第几起了…k//@吐槽鬼:@滴滴出行 出来讲清楚啊.你们他妈从上次到现在到底做了什么整改？ //@七福团子:当事人是我表姐,这个司机不是第一次作案,之前也有妹子差点遇到危险,但申报给滴滴根本没有处理！拖延到现在又出问题！牌照是川A31J0Z，司机如图 http://t.cn/RkEhJKc",2018-09-18 09:23:05
99,Ann抒曼,4285484278914005,jimmy choo的鞋子就是好穿。[心]//@颜文字君://@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-09-18 06:15:34
100,seo-ing_118,4285270322911533,陪你一起看草原-乌兰托娅[音乐]//@夏目家的小诗哥:...//@胡萝卜的吉光片羽:天……[伤心]//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散???? http://t.cn/RkEKaqy,2018-09-17 16:05:24
101,路边智障,4284954936858304,转发微博,2018-09-16 19:12:10
102,就是唱唱呀,4284635598893533,[作揖],2018-09-15 22:03:14
103,管逗逗吖,4283880951810655,转发微博,2018-09-13 20:04:31
104,万山之峰,4283711002545934,//@HenryMateo:转发微博,2018-09-13 08:49:13
105,万山之峰,4283462342448917,//@穿袜子的秋裤://@铁柱基爸://@钱门://@钱门:失踪的是我妹妹的大学室友！请大家转发一下！@平安温州 @温州交警 @温州发布 @凤凰网 @新华网 @搜狐新闻 @腾讯新闻 @温州草根新闻 @头条新闻 @新闻晨报 @南方周末,2018-09-12 16:21:08
106,万山之峰,4283462196353201,//@穿袜子的秋裤:大家帮帮忙转发这条消息！尽微薄的力量 家里人朋友都很担心！ 出事到现在已经快16个小时了！//@CCZHu_:@平安温州 @温州交警 @温州发布 @凤凰网 @新华网 @搜狐新闻 @腾讯新闻 @温州草根新闻 @头条新闻 @新闻晨报 @南方周末,2018-09-12 16:20:32
107,万山之峰,4283461713926424,//@穿袜子的秋裤:大家帮帮忙转发这条消息！尽微薄的力量 家里人朋友都很担心！ 出事到现在已经快16个小时了！//@CCZHu_:@平安温州 @温州交警 @温州发布 @凤凰网 @新华网 @搜狐新闻 @腾讯新闻 @温州草根新闻 @头条新闻 @新闻晨报 @南方周末,2018-09-12 16:18:38
108,万山之峰,4283461403932918,//@穿袜子的秋裤:一定要快快回来//@CCZHu_:@平安温州 @温州交警 @温州发布 @凤凰网 @新华网 @搜狐新闻 @腾讯新闻 @温州草根新闻 @头条新闻 @新闻晨报 @南方周末,2018-09-12 16:17:23
109,万山之峰,4283461302888529,//@穿袜子的秋裤:真的很后悔三点多发生异样还没有来得及去报警[泪]还一直还怀着她只是开飞行模式充电，就这样错过了最佳时机！为什么没能在她发那句有点怕怕的时候做出反应！大家一起帮忙转发一下好吗，她一个瘦瘦小小的女生，我没有勇气去想她回面料什么样的事，只求她能平安回来🙏🙏🙏🙏,2018-09-12 16:17:00
110,万山之峰,4283460522751025,//@穿袜子的秋裤:真的很后悔三点多发生异样还没有来得及去报警[泪]还一直还怀着她只是开飞行模式充电，就这样错过了最佳时机！为什么没能在她发那句有点怕怕的时候做出反应！大家一起帮忙转发一下好吗，她一个瘦瘦小小的女生，我没有勇气去想她回面料什么样的事，只求她能平安回来🙏🙏🙏🙏,2018-09-12 16:13:54
111,曾玥霖,4282840482357356,//@魏盟奇:真的好心疼…女孩子们…我们要怎么做才能保护你们不受伤害[泪]防不胜防啊,2018-09-10 23:10:05
112,神宫寺拾玖,4282504121351742,[泪][伤心],2018-09-10 00:53:29
113,厌学网民小周,4281742980697994,//@yummy搜索美食小联盟: 有个防身的app叫做怕怕，可以实时共享位置，喊句救命啊就能够自动报警，里边有个视频报警功能，伪装警察直播现场，看到这个新闻是真的希望怕怕或者滴滴能跟警察合作，真实警察直播现场，看还有哪个不怕死的司机敢这么猖狂,2018-09-07 22:29:00
114,yujhb,4280640981149205,//@WJZQWYX:转发微博,2018-09-04 21:30:03
115,yujhb,4280620131286550,转发微博,2018-09-04 20:07:12
116,用户6229809061,4280585092731439,顺风又出事了。,2018-09-04 17:47:58
117,黑街小巷少年在i33173,4280510018179016,//@林莱莱呀:请继续扩散继续发酵一定要还我朋友一个公道,2018-09-04 12:49:40
118,Nova希,4280299694645699,让凶手死，死之前先折磨他，让他痛不欲生，在送他去死,2018-09-03 22:53:54
119,光过风匿,4280180706949199,转发微博,2018-09-03 15:01:05
120,_大海a_,4279970102081925,转发微博,2018-09-03 01:04:14
121,消失的亦菲,4279948489525855,转发微博,2018-09-02 23:38:20
122,用户6523322190,4279908068463875,转发微博,2018-09-02 20:57:43
123,夜半月上柳,4279826594408776,转发微博,2018-09-02 15:33:57
124,用户6648594381,4279531541874752,转发微博,2018-09-01 20:01:32
125,黑街小巷少年在i33173,4279414722005668,//@-CHENQ1UI:🙏🙏🙏大家帮忙转发出去好吗！！！！真实的事情！！！我的好朋友！！！ 一个弱女子在暴雨雷电闪电交加的夜晚！！我真的不敢想象她到底经历了什么！,2018-09-01 12:17:20
126,樹山觀,4279390286343060,哎……………………………………//@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散🙏🙏 http://t.cn/RkEKaqy,2018-09-01 10:40:14
127,樹山觀,4279390210489709,转发微博,2018-09-01 10:39:55
128,因为是小强哥呀,4279150497752785,回复@穿袜子的秋裤:不是给你们最亲密的人发的。我想当时可能已经是紧急关头小仙女来不及选择好友而是随意点了一个吧。安息[蜡烛] 勿喷。,2018-08-31 18:47:24
129,_温念念_,4279010340508577,//@祈荷不丧://@停云云神智不清://@连清_://@磕药姬://@白泽_MEOWMERS:小姑娘穿着长裤，白天打车，得知危险紧急处理了，还是死了。你告诉我什么他妈的叫安全啊。干脆地铁全做成女性专属，男的都去打车得了？,2018-08-31 09:30:29
130,用户6573352645,4278954526988098,转发微博,2018-08-31 05:48:42
131,金大学霸丶,4278816739804853,17MBDWANrjfYbpejXTqVTcfp2ghsHu7V4q,2018-08-30 20:41:10
132,情yanh,4278798838883617,让所有人看到，为这个小仙女小姐姐报仇！！！！！！！！！！,2018-08-30 19:30:02
133,醉半ban醒,4278792983154223,在普通法系下，滴滴不能免除法律制裁，受害者家人应该把滴滴告上法庭,2018-08-30 19:06:46
134,当初恨晚07705,4278787002805296,转发微博,2018-08-30 18:43:00
135,牵挂在外漂泊的孩子,4278738595999093,转发微博,2018-08-30 15:30:39
136,謾里风铃音,4278719751695704,天//@患者阿离://@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散🙏🙏,2018-08-30 14:15:46
137,风遛,4278654965415966,转发微博,2018-08-30 09:58:21
138,栗子不闹,4278618878176654,//@患者阿离://@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散🙏🙏,2018-08-30 07:34:56
139,杨淳龙,4278605435606929,也许男孩子和很多涉世未深的人一样，当是时苦闷而充满幻想，我一直认为这是迷信权力而权力泛滥实质毫无实权的国家社会，如果在那时他假装是警察的心态多好//@林莱莱呀:回复@Jawnha我永远爱你:我评论的是你后面一个人讲的话，你的话，抱歉我没看到，对号入座的你，紧张兮兮气急败坏，可笑可悲，没什么好,2018-08-30 06:41:31
140,用户6567451879,4278497591860087,转发微博,2018-08-29 23:32:59
141,淡烟流水画屏玉,4278496753156832,转发微博,2018-08-29 23:29:39
142,被允许一年修改一次的普通用户,4278487022022409,//@患者阿离://@Super_4ong:感谢所有关心这次事件的人，女孩确定遇害，尸体也已经找到，我希望这次事件继续发酵，让滴滴平台的不作为付出相应的代价，希望大家继续扩散🙏🙏,2018-08-29 22:50:58
143,星星38282,4278482609679527,转发微博,2018-08-29 22:33:27
144,风雪丽人微信fengxueliren47162,4278439609532932,转发微博,2018-08-29 19:42:35
145,时光谈月,4278431556335250,转发微博,2018-08-29 19:10:35
146,阿诶6406014854,4278416775958168,转发微博,2018-08-29 18:11:51
147,林研吖,4278405131766712,辣鸡滴滴//@寻离子:又是滴滴,2018-08-29 17:25:34
148,开不起会员的纪达达,4278393031397762,转发微博,2018-08-29 16:37:29
149,Shigurekooo_,4278387356305397,转发微博,2018-08-29 16:14:56
150,椰子树的微博小窝809,4278373163081867,转发微博,2018-08-29 15:18:33
151,用户6040891882,4278369283682149,转发微博,2018-08-29 15:03:08
152,美好瞬间8888,4278338841230846,转发微博,2018-08-29 13:02:09
153,palande85,4278319886938554,转发微博,2018-08-29 11:46:51
