u1019	i426	1
u1622	i546	1
u1623	i91	1
u1623	i379	1
u1625	i556	1
u163	i238	1
u163	i251	1
u163	i194	1
u164	i67	1
u165	i138	1
u1747	i67	1
u1748	i138	1
u1749	i64	1
u1749	i101	1
u1749	i371	1
u1749	i101	1
u1749	i480	1
u175	i481	1
u175	i528	1
u175	i194	1
u1750	i64	1
u1750	i101	1
u1750	i582	1
u1750	i101	1
u1750	i104	1
u1750	i101	1
u1750	i480	1
u1751	i64	1
u1751	i101	1
u1751	i552	1
u1751	i101	1
u1751	i480	1
u1752	i65	1
u1771	i582	1
u1772	i237	1
u1773	i110	1
u1773	i415	1
u1783	i415	1
u1783	i194	1
u1783	i194	1
u1784	i500	1
u1784	i311	1
u1784	i194	1
u1785	i500	1
u1785	i79	1
u1785	i42	1
u1785	i194	1
u1786	i500	1
u1786	i415	1
u1786	i194	1
u1790	i256	1
u1790	i259	1
u1799	i490	1
u1799	i101	1
u1799	i101	1
u1799	i143	1
u1804	i307	1
u1808	i341	1
u1818	i407	1
u1821	i251	1
u1821	i194	1
u1821	i201	1
u1824	i415	1
u1825	i412	1
u1825	i194	1
u1840	i415	1
u1866	i35	1
u1866	i413	1
u1866	i301	1
u1867	i194	1
u1868	i277	1
u188	i598	1
u1882	i107	1
u1893	i349	1
u1893	i537	1
u1893	i251	1
u1893	i194	1
u1898	i194	1
u1912	i312	1
u1913	i155	1
u1913	i194	1
u1914	i362	1
u1914	i194	1
u1914	i194	1
u193	i514	1
u193	i109	1
u195	i211	1
u195	i96	1
u1970	i431	1
u1970	i586	1
u1971	i245	1
u1971	i194	1
u1972	i177	1
u1972	i563	1
u1974	i610	1
u1975	i189	1
u1982	i526	1
u1982	i407	1
u1982	i194	1
u1983	i522	1
u1983	i146	1
u1983	i194	1
u1984	i425	1
u1984	i194	1
u1991	i189	1
u2013	i251	1
u2013	i194	1
u2013	i338	1
u2016	i268	1
u2016	i364	1
u2064	i135	1
u2064	i480	1
u2074	i464	1
u2074	i202	1
u2075	i625	1
u2091	i251	1
u2091	i194	1
u2092	i415	1
u2092	i194	1
u2100	i422	1
u2101	i460	1
u2110	i360	1
u2110	i101	1
u2110	i410	1
u2110	i101	1
u2110	i112	1
u2118	i1	1
u2120	i229	1
u2120	i136	1
u2122	i423	1
u2122	i550	1
u213	i67	1
u214	i138	1
u2186	i337	1
u2197	i194	1
u2198	i328	1
u2198	i90	1
u2198	i142	1
u2199	i541	1
u2200	i57	1
u2202	i495	1
u2203	i308	1
u2203	i357	1
u2209	i435	1
u2211	i183	1
u2212	i238	1
u2212	i251	1
u2212	i194	1
u2213	i67	1
u2214	i138	1
u2225	i608	1
u2225	i251	1
u2225	i194	1
u2229	i194	1
u2230	i415	1
u2230	i193	1
u2235	i274	1
u2235	i25	1
u2236	i274	1
u2236	i415	1
u2237	i389	1
u2237	i496	1
u2239	i113	1
u2239	i334	1
u2249	i194	1
u2259	i155	1
u2259	i194	1
u2260	i447	1
u2260	i194	1
u2261	i447	1
u2261	i629	1
u2261	i194	1
u2262	i447	1
u2262	i394	1
u2262	i629	1
u2262	i194	1
u2263	i447	1
u2263	i394	1
u2263	i194	1
u2264	i174	1
u2264	i407	1
u2265	i331	1
u2265	i407	1
u2266	i582	1
u2266	i430	1
u2266	i407	1
u2268	i161	1
u2268	i407	1
u2268	i194	1
u2283	i300	1
u2283	i20	1
u2286	i7	1
u2309	i372	1
u2309	i194	1
u2332	i414	1
u2332	i29	1
u2333	i56	1
u2333	i191	1
u2334	i518	1
u2334	i413	1
u2335	i357	1
u2335	i622	1
u2336	i222	1
u2336	i242	1
u2337	i92	1
u2337	i455	1
u2338	i198	1
u2338	i581	1
u2342	i194	1
u2348	i162	1
u2356	i110	1
u2362	i194	1
u2363	i466	1
u2363	i194	1
u2402	i557	1
u2402	i345	1
u2403	i557	1
u2403	i633	1
u2403	i587	1
u2404	i557	1
u2404	i381	1
u2405	i557	1
u2405	i227	1
u2410	i334	1
u2410	i52	1
u2410	i302	1
u2410	i203	1
u2411	i334	1
u2411	i52	1
u2411	i302	1
u2411	i212	1
u2412	i334	1
u2412	i52	1
u2412	i302	1
u2412	i194	1
u2413	i334	1
u2413	i52	1
u2413	i457	1
u2413	i194	1
u2417	i432	1
u2417	i566	1
u2417	i251	1
u2421	i614	1
u2421	i194	1
u2422	i291	1
u2422	i609	1
u2422	i194	1
u2423	i240	1
u2424	i432	1
u2424	i566	1
u2424	i251	1
u2438	i257	1
u2439	i354	1
u2439	i194	1
u2440	i194	1
u2441	i223	1
u2444	i194	1
u2447	i606	1
u2447	i175	1
u2463	i350	1
u2463	i371	1
u2464	i238	1
u2464	i251	1
u2464	i194	1
u2465	i67	1
u2466	i138	1
u2495	i561	1
u2495	i475	1
u2495	i194	1
u2496	i315	1
u2496	i194	1
u2497	i303	1
u2497	i194	1
u2503	i225	1
u2504	i448	1
u2534	i611	1
u2534	i251	1
u2534	i194	1
u2570	i567	1
u2571	i258	1
u2571	i571	1
u2575	i68	1
u2575	i194	1
u2588	i400	1
u2589	i502	1
u2589	i504	1
u2590	i127	1
u2590	i233	1
u2590	i189	1
u2594	i226	1
u2594	i251	1
u2594	i194	1
u2594	i501	1
u2595	i226	1
u2595	i251	1
u2595	i194	1
u2595	i501	1
u2596	i226	1
u2596	i251	1
u2596	i194	1
u2596	i501	1
u2598	i226	1
u2598	i251	1
u2598	i194	1
u2598	i501	1
u2607	i255	1
u2607	i583	1
u2607	i194	1
u2608	i255	1
u2608	i583	1
u2608	i194	1
u2609	i255	1
u2609	i228	1
u2609	i194	1
u2610	i255	1
u2610	i583	1
u2610	i194	1
u2611	i255	1
u2611	i583	1
u2611	i194	1
u2612	i255	1
u2612	i318	1
u2612	i194	1
u2613	i255	1
u2613	i583	1
u2613	i194	1
u2645	i110	1
u2646	i299	1
u2647	i260	1
u2647	i497	1
u2662	i416	1
u2666	i443	1
u2666	i194	1
u2667	i526	1
u2667	i126	1
u2669	i402	1
u2669	i301	1
u2669	i570	1
u2882	i573	1
u2882	i202	1
u2882	i194	1
u2932	i371	1
u2932	i636	1
u2935	i383	1
u2935	i636	1
u2936	i132	1
u2937	i383	1
u2937	i528	1
u2938	i120	1
u2939	i389	1
u2939	i615	1
u2940	i292	1
u2940	i521	1
u2941	i339	1
u2941	i615	1
u3016	i110	1
u3016	i194	1
u3017	i213	1
u3017	i194	1
u3023	i292	1
u3023	i190	1
u3036	i251	1
u3036	i194	1
u3036	i545	1
u3044	i220	1
u3053	i626	1
u3053	i459	1
u3074	i623	1
u3074	i275	1
u3089	i279	1
u3089	i194	1
u3090	i503	1
u3096	i394	1
u3096	i357	1
u3096	i194	1
u31	i311	1
u31	i317	1
u31	i194	1
u3102	i165	1
u3102	i251	1
u3102	i194	1
u3110	i25	1
u3110	i271	1
u3110	i251	1
u3111	i253	1
u3114	i326	1
u3118	i172	1
u3140	i403	1
u3140	i344	1
u3140	i51	1
u3140	i262	1
u3140	i194	1
u32	i138	1
u33	i67	1
u3309	i254	1
u3309	i552	1
u3310	i254	1
u3310	i191	1
u3311	i254	1
u3311	i29	1
u3313	i254	1
u3313	i58	1
u3313	i157	1
u3314	i254	1
u3314	i210	1
u3314	i450	1
u3315	i254	1
u3315	i98	1
u3318	i254	1
u3318	i11	1
u3320	i254	1
u3320	i129	1
u3323	i254	1
u3326	i254	1
u3326	i166	1
u3328	i254	1
u3328	i128	1
u3333	i254	1
u3333	i23	1
u3335	i254	1
u3335	i2	1
u3335	i23	1
u3336	i254	1
u3336	i429	1
u3337	i254	1
u3337	i632	1
u3339	i254	1
u3339	i409	1
u3342	i254	1
u3342	i77	1
u3347	i254	1
u3347	i267	1
u3350	i254	1
u3354	i404	1
u3354	i192	1
u3355	i283	1
u3355	i480	1
u3355	i251	1
u3355	i194	1
u3356	i91	1
u3356	i194	1
u3357	i238	1
u3357	i251	1
u3357	i194	1
u3360	i396	1
u3360	i101	1
u3360	i194	1
u3361	i311	1
u3361	i317	1
u3361	i194	1
u3362	i350	1
u3362	i371	1
u3363	i602	1
u3363	i194	1
u3365	i530	1
u3366	i94	1
u3367	i28	1
u3368	i158	1
u3368	i591	1
u3368	i194	1
u3369	i453	1
u3370	i251	1
u3370	i194	1
u3370	i438	1
u3372	i138	1
u3373	i87	1
u3374	i572	1
u3375	i251	1
u3375	i356	1
u3375	i535	1
u3375	i251	1
u3375	i194	1
u3376	i283	1
u3377	i340	1
u3377	i441	1
u3378	i312	1
u3379	i311	1
u3379	i4	1
u3380	i311	1
u3380	i317	1
u3380	i168	1
u3380	i194	1
u3381	i67	1
u3382	i390	1
u3383	i80	1
u3384	i510	1
u3384	i12	1
u3406	i292	1
u3406	i373	1
u3408	i371	1
u3408	i636	1
u3411	i71	1
u3411	i271	1
u3412	i79	1
u3412	i414	1
u3415	i389	1
u3415	i615	1
u3417	i71	1
u3417	i601	1
u3420	i371	1
u3420	i102	1
u3421	i389	1
u3421	i148	1
u3422	i71	1
u3422	i271	1
u3422	i589	1
u3423	i55	1
u3423	i534	1
u3424	i474	1
u3424	i636	1
u3428	i187	1
u3428	i636	1
u3430	i411	1
u3430	i576	1
u3433	i145	1
u3433	i373	1
u3435	i292	1
u3435	i373	1
u3438	i71	1
u3438	i601	1
u3439	i371	1
u3439	i102	1
u3440	i71	1
u3440	i271	1
u3441	i71	1
u3441	i271	1
u3441	i589	1
u3443	i79	1
u3443	i615	1
u3446	i55	1
u3446	i534	1
u3447	i290	1
u3447	i636	1
u3449	i389	1
u3449	i615	1
u3450	i371	1
u3450	i636	1
u3452	i389	1
u3452	i148	1
u3457	i474	1
u3457	i636	1
u3458	i79	1
u3458	i414	1
u3459	i187	1
u3459	i636	1
u3521	i238	1
u3521	i251	1
u3521	i194	1
u3522	i67	1
u3523	i138	1
u3539	i238	1
u3539	i251	1
u3539	i194	1
u3540	i350	1
u3540	i371	1
u3541	i138	1
u3542	i67	1
u3664	i627	1
u3664	i519	1
u3664	i251	1
u3664	i194	1
u3667	i350	1
u3667	i371	1
u3668	i67	1
u3669	i138	1
u37	i311	1
u37	i269	1
u37	i243	1
u3773	i350	1
u3773	i371	1
u3774	i138	1
u3775	i67	1
u3778	i265	1
u3778	i4	1
u3778	i194	1
u3779	i71	1
u3779	i473	1
u3779	i407	1
u3779	i194	1
u3780	i593	1
u3780	i50	1
u3781	i593	1
u3781	i103	1
u3782	i593	1
u3782	i401	1
u3789	i155	1
u3789	i194	1
u3790	i239	1
u3791	i470	1
u3792	i347	1
u3793	i45	1
u3794	i59	1
u3795	i195	1
u3796	i398	1
u3797	i41	1
u3798	i565	1
u3799	i418	1
u38	i278	1
u38	i188	1
u3800	i428	1
u3801	i507	1
u3802	i0	1
u3803	i607	1
u3804	i224	1
u3805	i208	1
u3806	i71	1
u3807	i79	1
u3807	i249	1
u3808	i292	1
u3808	i253	1
u3811	i380	1
u3811	i91	1
u3812	i371	1
u3812	i33	1
u3812	i563	1
u3812	i371	1
u3813	i451	1
u3813	i61	1
u3815	i91	1
u3815	i499	1
u3815	i30	1
u3817	i204	1
u3832	i97	1
u3849	i525	1
u3849	i36	1
u3852	i612	1
u3852	i101	1
u3852	i251	1
u3852	i101	1
u3852	i480	1
u3853	i496	1
u3854	i496	1
u3854	i156	1
u3855	i406	1
u3894	i56	1
u3894	i480	1
u3895	i42	1
u3895	i407	1
u3895	i194	1
u3896	i199	1
u3896	i118	1
u3897	i140	1
u3897	i337	1
u3910	i630	1
u3910	i377	1
u3923	i251	1
u3923	i480	1
u3924	i179	1
u3925	i176	1
u3925	i415	1
u3925	i101	1
u3925	i8	1
u3925	i101	1
u3925	i251	1
u3925	i101	1
u3925	i194	1
u3926	i261	1
u3927	i290	1
u3928	i4	1
u3929	i351	1
u3929	i261	1
u3930	i194	1
u3947	i250	1
u3947	i170	1
u3947	i578	1
u3947	i194	1
u3950	i288	1
u3950	i320	1
u3950	i194	1
u3970	i155	1
u3970	i194	1
u3971	i352	1
u3971	i346	1
u3971	i194	1
u3982	i438	1
u3982	i251	1
u3982	i194	1
u3985	i120	1
u3985	i251	1
u3985	i194	1
u3987	i116	1
u3987	i456	1
u3987	i251	1
u3987	i194	1
u3991	i81	1
u3991	i194	1
u3992	i81	1
u3992	i194	1
u3993	i81	1
u3993	i245	1
u3994	i81	1
u3994	i194	1
u3995	i81	1
u3995	i194	1
u3996	i56	1
u3996	i519	1
u3996	i194	1
u3997	i577	1
u3997	i194	1
u3997	i439	1
u3997	i205	1
u3997	i520	1
u3997	i194	1
u4035	i478	1
u4035	i292	1
u4035	i295	1
u4036	i327	1
u4036	i251	1
u4036	i194	1
u4067	i476	1
u4067	i382	1
u4068	i494	1
u4068	i437	1
u4068	i194	1
u4069	i291	1
u4069	i609	1
u4069	i194	1
u4079	i123	1
u4089	i179	1
u4105	i424	1
u4105	i194	1
u4123	i508	1
u4142	i631	1
u4177	i585	1
u4178	i336	1
u4185	i592	1
u4185	i194	1
u4190	i300	1
u4190	i215	1
u4191	i488	1
u4191	i316	1
u4192	i215	1
u4202	i616	1
u4203	i642	1
u4203	i452	1
u4204	i642	1
u4210	i194	1
u4226	i74	1
u4227	i427	1
u4227	i180	1
u4251	i119	1
u4255	i141	1
u4256	i141	1
u43	i144	1
u43	i138	1
u4341	i584	1
u4342	i397	1
u4343	i152	1
u4349	i508	1
u4350	i508	1
u4353	i508	1
u4355	i323	1
u4355	i335	1
u4375	i83	1
u4375	i218	1
u4395	i319	1
u4395	i634	1
u4395	i194	1
u4408	i282	1
u4408	i519	1
u4409	i515	1
u4495	i449	1
u4503	i294	1
u4503	i194	1
u4504	i38	1
u4504	i194	1
u4505	i14	1
u4505	i634	1
u4506	i488	1
u4506	i293	1
u4516	i194	1
u4530	i114	1
u4531	i171	1
u4531	i524	1
u4532	i636	1
u4541	i599	1
u4541	i119	1
u4567	i508	1
u4573	i56	1
u4573	i519	1
u4573	i194	1
u4590	i149	1
u4590	i194	1
u4594	i487	1
u4594	i251	1
u4594	i194	1
u4595	i528	1
u4595	i159	1
u4618	i100	1
u4618	i84	1
u4619	i189	1
u4619	i194	1
u4624	i66	1
u4624	i232	1
u4624	i478	1
u4624	i251	1
u4624	i194	1
u4633	i395	1
u4633	i552	1
u4633	i194	1
u4641	i163	1
u4641	i101	1
u4641	i9	1
u4641	i101	1
u4641	i251	1
u4641	i101	1
u4641	i194	1
u4664	i376	1
u4665	i603	1
u4665	i313	1
u4666	i226	1
u4666	i251	1
u4666	i194	1
u4666	i501	1
u4705	i189	1
u4705	i173	1
u4708	i496	1
u4708	i309	1
u4708	i301	1
u4708	i194	1
u4716	i281	1
u4716	i194	1
u4721	i435	1
u4721	i542	1
u4733	i221	1
u4733	i194	1
u4741	i251	1
u4741	i194	1
u4743	i194	1
u4745	i348	1
u4757	i527	1
u4757	i343	1
u4757	i194	1
u4770	i40	1
u4770	i167	1
u4770	i53	1
u4778	i27	1
u4778	i480	1
u4780	i604	1
u4780	i3	1
u4781	i5	1
u4781	i480	1
u4785	i485	1
u4790	i106	1
u4790	i194	1
u4795	i13	1
u4795	i319	1
u4810	i129	1
u4810	i553	1
u4810	i129	1
u4813	i82	1
u4813	i136	1
u4816	i359	1
u4820	i280	1
u4823	i289	1
u4823	i101	1
u4823	i251	1
u4823	i101	1
u4823	i194	1
u4837	i272	1
u4837	i624	1
u4837	i461	1
u4846	i548	1
u4853	i194	1
u4865	i408	1
u4865	i189	1
u4868	i543	1
u4868	i194	1
u4873	i294	1
u4881	i595	1
u4881	i316	1
u4891	i251	1
u4891	i194	1
u4901	i342	1
u4901	i480	1
u4906	i606	1
u4906	i359	1
u4910	i29	1
u4938	i184	1
u4938	i419	1
u4938	i91	1
u4944	i194	1
u4946	i496	1
u4946	i155	1
u4946	i194	1
u4948	i44	1
u4953	i219	1
u4955	i357	1
u4955	i194	1
u4963	i291	1
u4963	i609	1
u4964	i265	1
u4964	i119	1
u4966	i251	1
u4966	i194	1
u4970	i216	1
u4970	i194	1
u4972	i291	1
u4972	i609	1
u4974	i517	1
u4974	i194	1
u4975	i563	1
u4975	i449	1
u4990	i194	1
u4991	i194	1
u4993	i235	1
u4993	i619	1
u4996	i321	1
u4998	i375	1
u5004	i610	1
u5004	i444	1
u5021	i83	1
u5021	i634	1
u5030	i78	1
u5030	i333	1
u5030	i194	1
u5041	i529	1
u5041	i101	1
u5041	i251	1
u5041	i101	1
u5041	i194	1
u5045	i462	1
u5052	i251	1
u5052	i194	1
u5052	i5	1
u5065	i22	1
u5077	i596	1
u5084	i194	1
u5098	i579	1
u5098	i523	1
u5103	i287	1
u5103	i180	1
u5103	i24	1
u5103	i480	1
u5114	i299	1
u5116	i369	1
u5116	i194	1
u5125	i137	1
u5125	i536	1
u5132	i592	1
u5132	i407	1
u5133	i357	1
u5134	i263	1
u5139	i640	1
u5139	i413	1
u5139	i194	1
u5145	i606	1
u5145	i46	1
u5146	i304	1
u5146	i247	1
u5149	i194	1
u5151	i102	1
u5159	i93	1
u5159	i506	1
u5159	i194	1
u5160	i580	1
u5160	i54	1
u5162	i393	1
u5162	i414	1
u5162	i194	1
u5167	i241	1
u5168	i446	1
u5168	i368	1
u5176	i209	1
u5178	i617	1
u5178	i252	1
u5178	i194	1
u5180	i498	1
u5180	i529	1
u5185	i37	1
u5187	i230	1
u5190	i570	1
u5190	i194	1
u5206	i641	1
u5206	i194	1
u5207	i325	1
u5210	i360	1
u5210	i101	1
u5210	i410	1
u5210	i101	1
u5210	i112	1
u5214	i554	1
u5214	i194	1
u5222	i432	1
u5222	i566	1
u5223	i240	1
u5234	i544	1
u5234	i169	1
u5260	i26	1
u5260	i628	1
u5272	i262	1
u5273	i440	1
u5273	i56	1
u5273	i519	1
u5276	i588	1
u5281	i630	1
u5281	i377	1
u5282	i21	1
u5286	i81	1
u5286	i194	1
u5287	i531	1
u5287	i86	1
u5292	i251	1
u5292	i194	1
u5293	i562	1
u5293	i244	1
u5308	i489	1
u5309	i47	1
u5310	i551	1
u5330	i458	1
u5330	i497	1
u5330	i246	1
u5332	i484	1
u5332	i463	1
u5337	i164	1
u5337	i399	1
u5337	i518	1
u5337	i194	1
u5338	i155	1
u5338	i194	1
u5342	i508	1
u5343	i508	1
u5346	i322	1
u5357	i62	1
u5357	i194	1
u5375	i482	1
u5375	i480	1
u5380	i252	1
u5388	i194	1
u539	i238	1
u539	i251	1
u539	i194	1
u5391	i234	1
u5391	i189	1
u5391	i475	1
u5391	i194	1
u5392	i539	1
u5392	i194	1
u5394	i560	1
u5394	i119	1
u5399	i182	1
u5399	i194	1
u540	i67	1
u541	i138	1
u5420	i48	1
u5425	i445	1
u5425	i364	1
u5425	i49	1
u5429	i194	1
u5434	i355	1
u5434	i559	1
u5434	i55	1
u5434	i405	1
u5436	i341	1
u5439	i194	1
u5442	i185	1
u5446	i311	1
u5446	i231	1
u5447	i43	1
u5447	i231	1
u5458	i72	1
u5458	i194	1
u5549	i76	1
u5560	i498	1
u5560	i529	1
u5561	i498	1
u5561	i529	1
u5573	i194	1
u5574	i414	1
u5574	i29	1
u5575	i117	1
u5575	i29	1
u5576	i575	1
u5576	i160	1
u5577	i491	1
u5578	i324	1
u5585	i251	1
u5585	i194	1
u5588	i71	1
u5588	i194	1
u5606	i179	1
u5606	i197	1
u5606	i634	1
u5613	i154	1
u5614	i253	1
u5614	i42	1
u5614	i189	1
u5726	i222	1
u5726	i433	1
u5727	i75	1
u5727	i206	1
u5752	i479	1
u5753	i574	1
u5753	i101	1
u5753	i196	1
u5753	i101	1
u5753	i298	1
u5753	i101	1
u5753	i266	1
u5757	i251	1
u5757	i194	1
u5766	i391	1
u5766	i419	1
u577	i496	1
u577	i337	1
u5796	i200	1
u5796	i194	1
u58	i631	1
u5815	i300	1
u5815	i569	1
u59	i370	1
u598	i436	1
u598	i134	1
u61	i635	1
u625	i292	1
u625	i357	1
u625	i251	1
u625	i194	1
u626	i285	1
u626	i564	1
u626	i251	1
u626	i194	1
u627	i89	1
u627	i251	1
u627	i194	1
u628	i285	1
u628	i494	1
u628	i392	1
u629	i414	1
u629	i282	1
u629	i251	1
u629	i194	1
u630	i102	1
u630	i537	1
u630	i251	1
u630	i194	1
u631	i105	1
u631	i10	1
u631	i251	1
u631	i194	1
u632	i442	1
u632	i39	1
u632	i251	1
u632	i194	1
u633	i102	1
u633	i371	1
u633	i251	1
u633	i194	1
u634	i532	1
u634	i512	1
u634	i282	1
u634	i251	1
u634	i194	1
u635	i540	1
u635	i251	1
u635	i194	1
u636	i386	1
u636	i547	1
u637	i85	1
u637	i251	1
u637	i194	1
u638	i285	1
u638	i56	1
u638	i251	1
u638	i194	1
u639	i285	1
u639	i56	1
u639	i620	1
u639	i273	1
u640	i285	1
u640	i349	1
u640	i357	1
u640	i251	1
u640	i194	1
u641	i217	1
u641	i537	1
u642	i89	1
u643	i56	1
u643	i407	1
u644	i421	1
u644	i413	1
u644	i251	1
u644	i194	1
u645	i314	1
u645	i365	1
u71	i108	1
u738	i95	1
u738	i496	1
u738	i69	1
u752	i317	1
u753	i129	1
u753	i296	1
u753	i417	1
u757	i366	1
u757	i407	1
u757	i194	1
u758	i366	1
u758	i311	1
u758	i194	1
u767	i178	1
u773	i251	1
u773	i194	1
u774	i286	1
u774	i194	1
u776	i361	1
u776	i186	1
u777	i311	1
u777	i407	1
u78	i471	1
u788	i156	1
u788	i194	1
u798	i415	1
u810	i311	1
u810	i194	1
u813	i194	1
u813	i194	1
u82	i217	1
u82	i613	1
u824	i248	1
u824	i92	1
u824	i194	1
u834	i297	1
u836	i194	1
u837	i91	1
u837	i34	1
u837	i407	1
u86	i238	1
u86	i251	1
u86	i194	1
u87	i350	1
u87	i371	1
u88	i67	1
u89	i138	1
u9	i402	1
u9	i61	1
u902	i31	1
u902	i492	1
u902	i330	1
u907	i194	1
u913	i238	1
u913	i251	1
u913	i194	1
u914	i67	1
u915	i138	1
u918	i133	1
u922	i621	1
u923	i89	1
u924	i181	1
u925	i124	1
u926	i236	1
u927	i600	1
u927	i597	1
u928	i533	1
u929	i310	1
u930	i310	1
u931	i600	1
u931	i597	1
u932	i533	1
u933	i533	1
u934	i600	1
u934	i597	1
u935	i310	1
u944	i194	1
u949	i264	1
u953	i374	1
u953	i189	1
u953	i167	1
u959	i516	1
u960	i138	1
u961	i389	1
u961	i253	1
u962	i284	1
u971	i138	1
u978	i147	1
u979	i265	1
u979	i70	1
u979	i467	1
u980	i6	1
u980	i251	1
u980	i194	1
u985	i25	1
u986	i17	1
u986	i509	1
u988	i504	1
u988	i156	1
u988	i194	1
